medical_school,state,degree_type,average_gpa,average_mcat,minimum_mcat,is_public
University of  Alabama School of Medicine,AL,MD,3.87,509.4,494,True
University of  South Alabama College of Medicine,AL,MD,3.85,508,For out-of-state applicants only: 70th percentile (~507.5),True
Alabama College of Osteopathic  Medicine,AL,DO,3.60,503,NR,False
Edward Via College of Osteopathic Medicine – Auburn Campus,AL,DO,3.76,502,494,False
University of Arkansas for Medical Sciences College of Medicine,AR,MD,3.85,507,NR,True
Arkansas  College of Osteopathic Medicine,AR,DO,3.5+,500+,NR,False
University of  Arizona College of Medicine - Tucson,AZ,MD,3.74,508,498,True
University of  Arizona School of Medicine - Phoenix,AZ,MD,3.82,514,495,True
Mayo Clinic Alix School of Medicine,AZ,MD,3.95,521,508,False
A.T. Still University School of Osteopathic Medicine Arizona (SOMA),AZ,DO,3.53,502,NR,False
Arizona College of Osteopathic Medicine of Midwestern University,AZ,DO,3.58,504,NR,False
California Northstate University College of Medicine,CA,MD,3.83,513.3,497,False
California University of Science and Medicine,CA,MD,3.61,511,NR,False
Drew/UCLA Joint Medical Program Drew  University of Medicine and Science Note: This joint Program  has been discontinued. Drew now has its own MD program.,CA,MD,3.42,NR,NR,False
Loma Linda University School of Medicine,CA,MD,3.85,509,NR,False
University of California – Davis School of Medicine,CA,MD,3.72,509,NR,True
Stanford University  School of Medicine,CA,MD,3.94,518,NR,False
University  of California – Irvine School of Medicine,CA,MD,3.83,516,NR,True
University of California –  Los Angeles David Geffen School of Medicine,CA,MD,3.81,516,NR,True
University of California – Riverside School of Medicine,CA,MD,3.60,508,NR,True
University of California – San Diego School of Medicine,CA,MD,3.83,514.4,NR,True
University of  California – San Francisco School of Medicine,CA,MD,3.87,517,NR,True
University of Southern California Keck School of Medicine,CA,MD,3.85,517,NR,False
Kaiser Permanente School of  Medicine,CA,MD,3.78,514,NR,False
Touro University  California College of Osteopathic Medicine,CA,DO,3.58,506,NR,False
Western  University of Health Sciences College of Osteopathic Medicine of the Pacific,CA,DO,3.82,509,NR,False
California Health Sciences  University College of Osteopathic Medicine,CA,DO,3.45,504.1,498,False
University of Colorado School of Medicine,CO,MD,3.7,517,NR,True
Rocky Vista University College of  Osteopathic Medicine,CO,DO,3.61,506,NR,False
Quinnipiac  University Frank H. Netter MD School of Medicine,CT,MD,3.70,511,NR,False
University of  Connecticut School of Medicine,CT,MD,3.76,513,NR,True
Yale School of  Medicine,CT,MD,3.94,521,NR,False
George Washington University School of Medicine and Health Sciences,DC,MD,3.88,515,NR,False
Georgetown University School of Medicine,DC,MD,3.76,513,NR,False
Howard University College of Medicine,DC,MD,3.61,507,494,False
Florida Atlantic  University Charles E. Schmidt College of Medicine,FL,MD,3.83,513,NR,True
Florida International University Herbert Wertheim College of  Medicine,FL,MD,3.82,510,NR,True
Florida State University College  of Medicine,FL,MD,3.68,507,498,True
University of Central Florida College of Medicine,FL,MD,3.89,514,500,True
University of Florida College of  Medicine,FL,MD,3.86,515,500,True
University of Miami Miller School of Medicine,FL,MD,3.86,516,NR - (510 for 3-year accelerated path),False
University of South Florida Health Morsani College of Medicine,FL,MD,3.96,520,NR,True
Lake Erie  College of Osteopathic Medicine Bradenton Campus,FL,DO,3.71,502,NR,False
Nova  Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,FL,MD,3.75,512,NR,False
Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic  Medicine,FL,DO,3.60,506,NR,False
Emory  University School of Medicine,GA,MD,3.70,514,NR,False
Medical College of Georgia at Augusta University,GA,MD,3.80,512,NR,True
Mercer  University School of Medicine,GA,MD,3.69,503,493–494,False
Morehouse  School of Medicine,GA,MD,3.64,504.1,NR,False
Georgia Campus Philadelphia College of Osteopathic Medicine,GA,DO,NR,503,NR,False
University of Hawaii John A. Burns School of Medicine,HI,MD,3.79,512,NR,True
University of Iowa Carver College of Medicine,IA,MD,3.81,514,NR,True
Des Moines University College of  Osteopathic Medicine,IA,DO,3.71,507,NR,False
Idaho  College of Osteopathic Medicine,ID,DO,3.56,503.65,501,False
Carle Illinois College of  Medicine,IL,MD,3.73,513,498,True
Chicago Medical School at Rosalind Franklin University of Medicine and  Science,IL,MD,3.69,508,510 The school notes most successful applicants have a 510 or above.,False
Loyola  University of Chicago Stritch School of Medicine,IL,MD,3.8,512,NR,False
Northwestern  University The Feinberg School of Medicine,IL,MD,3.93,521,NR,False
Rush Medical College of Rush University,IL,MD,3.72,510,NR,False
Southern  Illinois University School of Medicine,IL,MD,3.7,508,498,True
University of  Chicago Pritzker School of Medicine,IL,MD,3.91,521,NR,False
University of  Illinois College of Medicine,IL,MD,3.82,511,NR,True
Chicago College of Osteopathic Medicine of Midwestern University,IL,DO,3.65,509,NR,False
Indiana University  School of Medicine,IN,MD,3.85,512,NR,True
Marian University College of Osteopathic Medicine,IN,DO,3.76,501,491,False
University of Kansas School of Medicine,KS,MD,3.84,509,NR,True
Kansas College of Osteopathic Medicine,KS,DO,3.0 Minimum for consideration,NR,500,False
University  of Kentucky College of Medicine,KY,MD,3.84,508,495,True
University of Louisville School of Medicine,KY,MD,3.78,507,NR,True
University of Pikeville Kentucky College of Osteopathic Medicine,KY,DO,3.50,502,NR,False
Louisiana  State University – New Orleans School of Medicine,LA,MD,3.76,509 (74th %-ile),NR,True
Louisiana State University – Shreveport School of Medicine,LA,MD,3.80,508,NR,True
Tulane University  School of Medicine,LA,MD,3.70,510,NR,False
Edward Via College of Osteopathic Medicine – Louisiana Campus,LA,DO,3.70 (min 3.4),502,496,False
Boston University School of Medicine,MA,MD,3.76,517,NR,False
Harvard Medical  School,MA,MD,3.90,520.48,NR,False
Tufts University School of Medicine,MA,MD,3.82,514,NR,False
University of Massachusetts Medical School,MA,MD,3.76,511,NR,True
Johns Hopkins University School of Medicine,MD,MD,3.92,521,NR,False
Uniformed Services University of the Health Sciences F. Edward Hebert School  of Medicine,MD,MD,3.70,510,496,True
University of  Maryland School of Medicine,MD,MD,3.84,512,NR,True
University of  New England College of Osteopathic Medicine,ME,DO,3.62,502,490,False
Central Michigan University College of Medicine,MI,MD,3.80,506,NR,True
Michigan State University College of  Human Medicine,MI,MD,3.7,507,NR,True
Oakland  University William Beaumont School of Medicine,MI,MD,3.89,510,NR,False
University of Michigan Medical School,MI,MD,3.85,516 (92nd %-ile),NR,True
Wayne  State University School of Medicine,MI,MD,3.78,511,NR,True
Western Michigan University School of  Medicine,MI,MD,3.81,512,497,False
Michigan State University College of Osteopathic Medicine,MI,DO,3.50–3.70,506–508,NR,True
Mayo Clinic Alix School of Medicine,MN,MD,3.95,521,NR,False
University of Minnesota Medical School - Twin Cities,MN,MD,3.84,511,NR,True
University of Minnesota Medical School - Duluth,MN,MD,3.77,511.1,495,True
University of Missouri – Columbia School of Medicine,MO,MD,3.83,509,494,True
Saint Louis University School of Medicine,MO,MD,3.90,514,NR,False
University of Missouri – Kansas  City School of Medicine,MO,MD,3.78 3.5 Minimum required for OOS applicants. 3.0 minimum for IS applicants.,506,495,True
Washington University School of  Medicine,MO,MD,3.88,519.5,NR,False
A.T. Still University of Health Sciences Kirksville College of Osteopathic  Medicine,MO,DO,3.69,503,NR,False
Kansas City University  of Medicine and Biosciences College of Osteopathic Medicine,MO,DO,3.62,505,NR,False
University of Mississippi School of Medicine,MS,MD,3.80,506,496,True
William Carey University College of Osteopathic Medicine,MS,DO,3.53,505,NR,False
Duke University School of Medicine,NC,MD,3.90,519,NR,False
East  Carolina University Brody School of Medicine,NC,MD,3.77,510,NR,True
University of North Carolina at  Chapel Hill School of Medicine,NC,MD,3.79,512,NR,True
Wake Forest School of Medicine,NC,MD,3.83,511,NR,False
Campbell  University Jerry M. Wallace School of Osteopathic Medicine,NC,DO,3.61,506,NR,False
University of  North Dakota School of Medicine and Health Sciences,ND,MD,3.80,507,NR,True
Creighton University School of Medicine,NE,MD,3.86,513,NR,False
University of Nebraska Medical Center College of Medicine,NE,MD,3.87,512,NR,False
Geisel School  of Medicine at Dartmouth,NH,MD,3.77,516,NR,False
Cooper Medical School of  Rowan University,NJ,MD,3.79,512,NR,True
Rutgers New Jersey Medical  School,NJ,MD,3.70,515,NR,True
Rutgers Robert Wood Johnson Medical School,NJ,MD,3.70,514,NR,True
Hackensack Meridian School of Medicine,NJ,MD,3.8,514,NR,False
Rowan University  School of Osteopathic Medicine,NJ,DO,3.70,508,NR,True
University of New Mexico School of Medicine,NM,MD,3.75,507,494,True
Burrell College of Osteopathic Medicine at New Mexico State  University,NM,DO,3.50,500,493,False
University of Nevada Reno School of  Medicine,NV,MD,3.76,509,500,True
University of Nevada Las Vegas School of  Medicine,NV,MD,3.6-3.7,510,NR,True
Touro University – Nevada  College of Osteopathic Medicine,NV,DO,3.54,506.9,500,False
Albany  Medical College,NY,MD,3.80,512,NR,False
Albert  Einstein College of Medicine,NY,MD,3.82,516,NR,False
Columbia University College of Physicians and Surgeons,NY,MD,3.85,521,NR,False
Hofstra  Northwell School of Medicine,NY,MD,3.92,518,NR,False
Icahn School of Medicine at Mount  Sinai,NY,MD,3.81,519,NR,False
New York Medical College,NY,MD,3.60,516,NR,False
New York  University Grossman School of Medicine,NY,MD,3.98,523,NR,False
New York  University Long Island School of Medicine,NY,MD,3.94,516,NR,False
SUNY – Downstate  Medical Center College of Medicine,NY,MD,3.73,513,NR,True
University at Buffalo  Jacobs School of Medicine and Biomedical Sciences,NY,MD,3.70,510,NR,True
SUNY – Upstate Medical  University,NY,MD,3.74,512,NR,True
Stony Brook  University School of Medicine,NY,MD,3.89,514,NR,True
University of Rochester School of Medicine and Dentistry,NY,MD,3.60,517,NR,False
Weill Cornell Medical College,NY,MD,3.90,518,NR,False
New York Institute of Technology College  of Osteopathic Medicine,NY,DO,3.62,506,NR,False
Touro College of Osteopathic Medicine -  Middletown Campus,NY,DO,3.592,504.864,498,False
Touro College of Osteopathic Medicine -  Harlem Campus,NY,DO,3.584,505.376,498,False
Case Western Reserve University School of Medicine,OH,MD,3.90,517,NR,False
Northeast Ohio Medical University,OH,MD,3.75,511,NR,True
The Ohio State University College of Medicine,OH,MD,3.83,514,NR,True
The University of  Toledo College of Medicine and Life Sciences,OH,MD,3.78,510,NR,True
University of Cincinnati  College of Medicine,OH,MD,3.86,514,NR,True
Wright State  University Boonshoft School of Medicine,OH,MD,3.68,508.76,NR,True
Ohio University  Heritage College of Osteopathic Medicine,OH,DO,3.68,503.46,NR,True
University of Oklahoma College of Medicine,OK,MD,3.79,511,492,True
Oklahoma  State University Center for Health Sciences College of Osteopathic Medicine,OK,DO,3.60,500,492,True
Oregon  Health & Science University School of Medicine,OR,MD,3.66,509,497,True
Western  University of Health Sciences College of Osteopathic Medicine of the Pacific Northwest,OR,DO,3.58,507,NR,False
Drexel University College of Medicine,PA,MD,3.76,512,NR,False
Geisinger Commonwealth School of Medicine,PA,MD,3.81,513.06,NR,False
Pennsylvania State University  College of Medicine,PA,MD,3.75,511,NR,True
Perelman School of Medicine University of Pennsylvania,PA,MD,3.97,521,NR,False
Sidney Kimmel Medical College at Thomas Jefferson University,PA,MD,3.80,513,NR,False
Temple University Lewis Katz  School of Medicine,PA,MD,3.70,510,NR,True
University of Pittsburgh School of Medicine,PA,MD,3.91,516,NR,True
Lake Erie  College of Osteopathic Medicine,PA,DO,3.41,503,NR,False
Philadelphia College of Osteopathic  Medicine,PA,DO,3.50,504,NR,False
Ponce School of  Medicine and Health Sciences,PR,MD,3.50,499,494,False
San  Juan Bautista School of Medicine,PR,MD,3.57,499,492,False
Universidad Central Del Caribe  School of Medicine,PR,MD,3.80,501,495,False
University of Puerto Rico School of  Medicine,PR,MD,3.80,506,495,True
Brown  University The Warren Alpert Medical School,RI,MD,3.83,516,NR,False
Medical University of South Carolina College of Medicine,SC,MD,3.85,511.2,500,True
University of  South Carolina School of Medicine – Columbia,SC,MD,3.77,508,NR,True
University of South Carolina School of Medicine – Greenville,SC,MD,3.75,509,NR,True
Edward Via College of Osteopathic Medicine – Carolinas Campus,SC,DO,3.70,500-506,496,False
University of South Dakota Sanford School of Medicine,SD,MD,3.79,508.3,496,True
East  Tennessee State University Quillen College of Medicine,TN,MD,3.85,513,NR,True
Meharry Medical  College School of Medicine,TN,MD,3.46,503,NR,False
University  of Tennessee Health Science Center College of Medicine,TN,MD,3.83,513,NR,True
Vanderbilt University School of Medicine,TN,MD,3.5-4.0,508-528,NR,False
Lincoln Memorial University DeBusk College of Osteopathic Medicine,TN,DO,3.40,501,494,False
Baylor College of Medicine,TX,MD,3.92,518,NR,False
TCU and UNTHSC  School of Medicine,TX,MD,3.81,512,NR,False
Texas A&M Health  Science Center College of Medicine,TX,MD,3.89,513,NR,True
Texas Tech University Health Sciences Center Paul L. Foster School of  Medicine,TX,MD,3.84,509,NR,True
Texas Tech University Health Sciences  Center School of Medicine – Lubbock,TX,MD,3.85,509,NR,True
University of Houston Tilman J. Fertitta Family College of Medicine,TX,MD,3.84,512,NR,True
University of Texas at Austin Dell Medical School,TX,MD,3.93,517,NR,True
University of Texas  Medical Branch School of Medicine,TX,MD,3.78,512,NR,True
University of Texas McGovern Medical  School at Houston,TX,MD,3.84,512,NR,True
University of Texas  Rio Grande Valley School of Medicine,TX,MD,3.85,509,495,True
University of Texas School of  Medicine at San Antonio,TX,MD,3.90,518.6,NR,True
University of Texas Southwestern Medical School,TX,MD,3.96,517,NR,True
Sam Houston State University College of Osteopathic Medicine,TX,DO,3.80,506,NR,True
University of the Incarnate Word School of Osteopathic Medicine,TX,DO,3.60,504,NR,False
University of North Texas Health Science Center at Fort Worth Texas College  of Osteopathic Medicine,TX,DO,3.82,507.2,NR,False
University  of Utah School of Medicine,UT,MD,3.87,514,500,True
Noorda College of Osteopathic Medicine,UT,DO,3.50,504,500,False
Eastern Virginia Medical School,VA,MD,3.70,513,NR,True
Virginia  Commonwealth University School of Medicine,VA,MD,3.70,512,NR,True
Virginia  Tech Carilion School of Medicine and Research Institute,VA,MD,3.67,512,NR,True
University of  Virginia School of Medicine,VA,MD,3.85,518,NR,True
Edward Via College of Osteopathic Medicine – Virginia Campus,VA,DO,3.60,502,495,False
Liberty University College of Osteopathic Medicine,VA,DO,3.40,504,501,False
The  University of Vermont Larner College of Medicine,VT,MD,3.70,512,NR,True
University of  Washington School of Medicine,WA,MD,3.7,511,NR,True
Washington State University Elson S. Floyd College of Medicine,WA,MD,3.64,507.9,NR,True
Pacific Northwestern  University of Health Sciences College of Osteopathic Medicine,WA,DO,3.60,503,NR,False
Marshall University Joan C. Edwards School of Medicine,WV,MD,3.81,506,496,True
West  Virginia University School of Medicine,WV,MD,3.80,511,NR,True
West Virginia School of  Osteopathic Medicine,WV,DO,3.53,502,495,True
Medical College of Wisconsin,WI,MD,3.70,508,NR,False
University of Wisconsin School of Medicine and Public Health,WI,MD,3.78,511,NR,True
